id_artista,nome,tipo
5WgRuO0mhM36NFoapzpWBH,Rashid,artist
5WFFFHVqeVk5tLuYh2KjQy,Luccas Carlos,artist
4mZqYlVhIZJnJtbF39kDjj,Dada Yute,artist
5RNZjjf0s20cEXRfCbQ8pY,Lellê,artist
6syQjkQSMIrzw5cFnNRheo,Rincon Sapiência,artist
2QLSJqqGIstNbO6nYRR16o,DUDA BEAT,artist
5YipImZQKjYCNnxhp5j32y,TALHØ,artist
1VJZvjGu80pBwk0qeJz8ZR,Drik Barbosa,artist
7zMhTkT27OwM0G9qkZPbZT,Wesley Camilo,artist
0vsOB7tW4ItHtdZBzKQZxp,Lukinhas,artist
2d9LRvQJnAXRijqIJDDs2K,Emicida,artist
3Ujv6sa60JRiaxS8RVuNOj,Tuyo,artist
63ibOFnRUQhYy6s7xypyHe,Srta. Paola,artist
